Subject,Cond,N100_amp,P200_amp,N100_latency,P200_latency,peak_to_peak
OP0001,Echo,-1.1263666974739726e-05,3.3254023043419314e-06,0.1484375,0.203125,1.4589069279081656e-05
OP0001,Echo,-7.675651531617572e-06,1.4001873973179294e-05,0.1484375,0.2109375,2.1677525504796866e-05
OP0001,Echo,-6.707918609949814e-06,8.272019920529701e-06,0.1015625,0.2109375,1.4979938530479516e-05
OP0001,Echo,-1.1678493710904845e-05,5.512142117219199e-06,0.1484375,0.203125,1.7190635828124045e-05
OP0001,Echo,-1.7769698459851146e-05,6.9686372749064785e-06,0.1015625,0.234375,2.4738335734757625e-05
OP0001,Echo,-1.3111711340502007e-05,1.3009139873464479e-05,0.1015625,0.171875,2.6120851213966487e-05
OP0001,Echo,-3.839603954819829e-06,5.279046653207073e-06,0.0859375,0.21875,9.118650608026902e-06
OP0001,Echo,-5.246721041570023e-06,8.22158007370854e-07,0.1484375,0.21875,6.068879048940877e-06
OP0001,Echo,-3.9315808632808815e-06,8.272775659283212e-06,0.1171875,0.2421875,1.2204356522564093e-05
OP0001,Echo,-1.550836656851049e-05,8.829110675220551e-06,0.125,0.171875,2.433747724373104e-05
OP0001,Echo,-9.443996646690636e-06,1.3012679927967871e-05,0.1328125,0.1796875,2.2456676574658508e-05
OP0001,Echo,-5.483766004503768e-06,-1.0885203268221438e-06,0.1015625,0.2421875,4.395245677681624e-06
OP0001,Echo,-9.818200097025293e-06,6.261559613313237e-06,0.1484375,0.1796875,1.607975971033853e-05
OP0001,Echo,-1.0135417451495606e-05,1.3555608347709928e-05,0.140625,0.1875,2.3691025799205532e-05
OP0001,Echo,-1.1217966656277909e-05,3.4464946207143676e-06,0.1328125,0.21875,1.4664461276992278e-05
OP0001,Echo,-1.8429505750033032e-06,2.6837908323688373e-06,0.125,0.171875,4.526741407372141e-06
OP0001,Echo,-5.521062241302613e-06,-1.1404516946351053e-06,0.1484375,0.2421875,4.380610546667508e-06
OP0001,Echo,-2.020077934832336e-05,-1.3960686620069036e-06,0.109375,0.2109375,1.8804710686316455e-05
OP0001,Echo,-1.3287970697920412e-06,8.091754181746316e-06,0.109375,0.234375,9.420551251538358e-06
OP0001,Echo,-2.2814661075871587e-06,5.717448070183163e-06,0.0859375,0.15625,7.998914177770322e-06
OP0001,Echo,-4.229059236374642e-06,2.4548971121165197e-06,0.09375,0.2265625,6.683956348491161e-06
OP0001,Echo,-9.876533975886043e-06,8.635112175764127e-06,0.1015625,0.2265625,1.851164615165017e-05
OP0001,Echo,-7.211448280362756e-06,1.2467595592729693e-05,0.125,0.1640625,1.9679043873092448e-05
OP0001,Echo,-1.020987546216587e-05,-7.531090889062473e-07,0.1171875,0.2421875,9.456766373259623e-06
OP0001,Echo,-1.302869418117213e-06,5.056297156207439e-06,0.125,0.2265625,6.359166574324652e-06
OP0001,Echo,-1.630575717332841e-05,2.26492082858244e-05,0.1484375,0.1953125,3.895496545915281e-05
OP0001,Echo,-6.987952640694556e-06,5.373349700717695e-06,0.0859375,0.15625,1.236130234141225e-05
OP0001,Echo,-1.5461921991669441e-06,4.3309136779659e-06,0.109375,0.15625,5.8771058771328445e-06
OP0001,Echo,-1.3632094927801213e-05,1.341248764020501e-06,0.140625,0.2421875,1.4973343691821714e-05
OP0001,Echo,-2.4343374642590155e-05,1.4310525038942079e-05,0.109375,0.2265625,3.865389968153223e-05
OP0001,Echo,-2.793383162491764e-06,6.087034222252327e-06,0.1171875,0.2421875,8.880417384744091e-06
OP0001,Echo,-2.1480961052313158e-06,1.1288723474334707e-05,0.1328125,0.2265625,1.3436819579566023e-05
OP0001,Echo,-9.304331781554862e-06,1.8510002724121985e-05,0.1015625,0.1640625,2.781433450567685e-05
OP0001,Echo,-7.394660443040961e-07,1.3848743003103257e-05,0.1484375,0.1953125,1.4588209047407353e-05
